CUS_ID,count,Mon,Tue,Wed,Thu,Fri,Sat,Sun,건강/의학,게임,교육/학원,금융/부동산,뉴스/미디어,문학/예술,비즈니스/경제,사회/문화/종교,생활/가정/취미,서비스,쇼핑,스포츠/레저,엔터테인먼트,여행,온라인교육,유통/판매/운송,인터넷/컴퓨터,정보통신/IT,정치/행정,제조,커뮤니티,학문
488,3373,506.0,787.0,602.0,527.0,688.0,139.0,124.0,3.0,1.0,1.0,85.0,389.0,,119.0,3.0,11.0,4.0,860.0,1.0,11.0,1.0,2.0,5.0,1545.0,65.0,59.0,6.0,202.0,
489,637,108.0,126.0,152.0,123.0,128.0,,,,,,27.0,,,1.0,,1.0,,19.0,,1.0,,,,572.0,2.0,3.0,,11.0,
558,3243,612.0,525.0,380.0,733.0,464.0,274.0,255.0,5.0,3.0,1.0,25.0,608.0,1.0,3.0,1.0,12.0,7.0,469.0,4.0,62.0,2.0,7.0,15.0,1429.0,5.0,2.0,7.0,575.0,
577,2956,818.0,609.0,477.0,473.0,428.0,37.0,114.0,17.0,3.0,2.0,45.0,303.0,1.0,73.0,,9.0,50.0,1062.0,2.0,35.0,7.0,7.0,2.0,1106.0,41.0,14.0,7.0,170.0,
630,4334,810.0,998.0,671.0,707.0,613.0,295.0,240.0,1.0,1.0,4.0,530.0,180.0,11.0,64.0,,2.0,96.0,1547.0,2.0,84.0,2.0,3.0,31.0,972.0,7.0,35.0,3.0,759.0,
716,298,35.0,64.0,58.0,55.0,86.0,,,,,3.0,16.0,50.0,,7.0,,,3.0,26.0,,2.0,,,,166.0,1.0,17.0,,7.0,
720,1396,221.0,224.0,212.0,227.0,213.0,156.0,143.0,1.0,,1.0,7.0,451.0,,3.0,4.0,,1.0,24.0,,21.0,3.0,1.0,4.0,747.0,,10.0,,118.0,
726,2413,377.0,496.0,400.0,350.0,647.0,143.0,,2.0,8.0,,23.0,216.0,,6.0,,4.0,2.0,909.0,27.0,7.0,1.0,6.0,1.0,1094.0,23.0,4.0,2.0,78.0,
776,5587,719.0,712.0,772.0,757.0,742.0,873.0,1012.0,,,,2.0,,,,,,,,,,,,,16.0,,3.0,,5566.0,
836,2683,454.0,390.0,460.0,516.0,488.0,216.0,159.0,5.0,34.0,7.0,121.0,487.0,,41.0,2.0,6.0,13.0,543.0,2.0,61.0,4.0,8.0,8.0,940.0,17.0,16.0,6.0,362.0,
896,3266,512.0,882.0,854.0,569.0,449.0,,,3.0,9.0,,233.0,612.0,1.0,13.0,,4.0,32.0,255.0,5.0,138.0,47.0,14.0,13.0,1053.0,19.0,42.0,3.0,770.0,
1014,1928,333.0,366.0,323.0,246.0,200.0,148.0,312.0,1.0,5.0,2.0,21.0,689.0,,,1.0,3.0,2.0,20.0,,11.0,4.0,22.0,,809.0,6.0,16.0,,314.0,2.0
1015,4950,818.0,891.0,1067.0,1098.0,1076.0,,,3.0,4.0,5.0,50.0,363.0,3.0,110.0,3.0,7.0,63.0,247.0,1.0,476.0,7.0,22.0,16.0,2098.0,9.0,35.0,2.0,1426.0,
1026,997,95.0,135.0,161.0,125.0,179.0,180.0,122.0,2.0,55.0,3.0,8.0,537.0,,7.0,,,,24.0,1.0,26.0,2.0,17.0,,216.0,,6.0,,93.0,
1037,2134,437.0,310.0,281.0,354.0,218.0,250.0,284.0,6.0,,,36.0,315.0,2.0,12.0,6.0,1.0,41.0,222.0,1.0,40.0,18.0,5.0,4.0,1123.0,2.0,40.0,5.0,255.0,
1127,1768,249.0,257.0,259.0,357.0,357.0,107.0,182.0,,,,88.0,196.0,1.0,10.0,21.0,4.0,4.0,58.0,1.0,5.0,11.0,19.0,,774.0,4.0,12.0,,560.0,
1176,588,110.0,71.0,110.0,101.0,127.0,64.0,5.0,,,1.0,5.0,50.0,,2.0,1.0,6.0,,43.0,1.0,4.0,6.0,2.0,,387.0,,,10.0,70.0,
1192,980,175.0,157.0,123.0,153.0,135.0,112.0,125.0,,2.0,,2.0,235.0,38.0,,,1.0,,10.0,,13.0,2.0,2.0,,582.0,2.0,3.0,8.0,80.0,
1217,3134,501.0,511.0,484.0,546.0,446.0,213.0,433.0,2.0,2.0,37.0,114.0,560.0,3.0,54.0,1.0,4.0,47.0,867.0,,157.0,17.0,34.0,6.0,879.0,25.0,24.0,9.0,292.0,
1233,1776,385.0,371.0,247.0,377.0,341.0,55.0,,3.0,2.0,5.0,27.0,46.0,,118.0,4.0,10.0,38.0,460.0,,84.0,4.0,13.0,14.0,724.0,26.0,7.0,55.0,136.0,
1269,829,144.0,133.0,141.0,144.0,146.0,121.0,,,,,1.0,81.0,,32.0,,17.0,1.0,145.0,14.0,7.0,,,26.0,457.0,1.0,2.0,2.0,43.0,
1270,1814,249.0,417.0,203.0,227.0,261.0,259.0,198.0,3.0,213.0,,345.0,202.0,,3.0,3.0,9.0,2.0,42.0,,33.0,1.0,3.0,,840.0,1.0,11.0,6.0,97.0,
